neighbourhood_cleansed,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy
Western Addition,94117,Apartment,Entire home/apt,3,1,1,2,Real Bed,$170.00,"$1,120.00","$4,200.00",$100.00,$100.00,2,$25.00,1,30,217,52,7/23/09,9/21/19,97,10,10,10,10,10,9,moderate
Inner Sunset,94131,House,Private room,2,1,1,1,Real Bed,$99.00,,,$0.00,$10.00,2,$20.00,1,5,160,36,7/16/09,9/30/19,94,10,10,10,10,10,10,strict_14_with_grace_period
Bernal Heights,94110,Apartment,Entire home/apt,5,1,2,3,Real Bed,$235.00,"$1,600.00","$5,500.00",,$100.00,2,$0.00,30,60,111,0,5/3/09,8/6/17,98,10,10,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Private room,2,4,1,1,Real Bed,$65.00,$485.00,"$1,685.00",$200.00,$50.00,1,$12.00,32,60,18,1,8/31/09,9/10/19,86,8,8,9,9,9,8,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Private room,2,4,1,1,Real Bed,$65.00,$490.00,"$1,685.00",$200.00,$50.00,1,$12.00,32,90,8,0,9/8/14,9/12/18,93,9,9,10,10,9,9,strict_14_with_grace_period
Western Addition,94117,House,Entire home/apt,4,1.5,2,2,Real Bed,$875.00,,,$0.00,$225.00,2,$150.00,6,1125,28,1,9/25/09,6/28/19,97,10,10,10,10,10,10,moderate
Mission,94110,Condominium,Private room,3,1,1,2,Real Bed,$139.00,,"$9,999.00",$0.00,$50.00,2,$60.00,1,14,704,87,8/1/09,10/6/19,98,10,10,10,10,10,9,strict_14_with_grace_period
Potrero Hill,94107,House,Private room,2,1,1,1,Real Bed,$135.00,"$1,000.00","$4,000.00",,$50.00,1,$0.00,1,365,511,82,10/26/09,10/7/19,94,10,9,10,10,10,9,strict_14_with_grace_period
Mission,94110,House,Entire home/apt,4,1,2,3,Real Bed,$225.00,"$1,540.00","$5,400.00",$500.00,$100.00,1,$0.00,30,60,337,33,9/12/09,5/27/19,96,10,10,10,10,10,9,moderate
Nob Hill,94109,Apartment,Entire home/apt,2,1,0,1,Real Bed,$120.00,"$1,150.00","$2,875.00",$500.00,$75.00,2,$0.00,30,180,18,0,12/23/11,5/17/15,99,10,10,10,10,10,10,moderate
Haight Ashbury,94117,Apartment,Entire home/apt,3,1,3,3,Real Bed,$177.00,,,"$2,500.00",$208.00,6,$0.00,30,1125,37,1,10/22/09,12/1/18,89,9,9,10,9,9,9,strict_14_with_grace_period
Western Addition,94102,Apartment,Entire home/apt,5,2,3,3,Real Bed,$194.00,,,"$3,000.00",$208.00,1,$0.00,30,1125,15,1,3/1/12,8/18/19,91,10,10,10,10,10,9,strict_14_with_grace_period
Downtown/Civic Center,94102,Apartment,Entire home/apt,2,1.5,1,1,Real Bed,$139.00,,"$4,800.00","$2,500.00",$156.00,1,$0.00,30,365,19,1,2/10/13,12/15/18,92,10,9,10,10,10,9,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Private room,2,3,1,2,Real Bed,$85.00,$630.00,"$1,995.00",$200.00,$50.00,1,$12.00,32,60,6,0,9/18/11,9/20/18,80,9,8,9,10,9,7,strict_14_with_grace_period
Haight Ashbury,94117,Apartment,Private room,2,3,1,2,Real Bed,$85.00,$630.00,"$1,995.00",$200.00,$50.00,1,$12.00,32,90,5,0,5/6/13,10/18/15,64,6,6,10,9,9,8,strict_14_with_grace_period
Castro/Upper Market,94114,Apartment,Private room,1,1,1,1,Real Bed,$79.00,,,,$10.00,1,$0.00,3,27,414,38,1/14/10,10/2/19,98,10,10,10,10,10,10,strict_14_with_grace_period
Inner Sunset,94117,Townhouse,Entire home/apt,4,1,2,3,Real Bed,$122.00,"$1,600.00","$4,600.00",$899.00,$279.00,1,$40.00,30,367,17,2,10/14/12,8/31/19,95,9,10,9,9,9,9,strict_14_with_grace_period
Mission,94110,Apartment,Entire home/apt,3,1,1,2,Real Bed,$215.00,,"$5,500.00",,$80.00,2,$35.00,3,10,114,19,1/18/10,9/20/19,97,10,9,10,10,10,9,moderate
South of Market,94105,Condominium,Entire home/apt,4,2,2,2,Real Bed,$450.00,"$2,300.00","$6,600.00","$5,000.00",$250.00,4,$100.00,90,365,14,0,12/11/10,9/29/16,96,10,10,10,10,10,9,strict_14_with_grace_period
Noe Valley,94114,Apartment,Entire home/apt,3,1,0,1,Real Bed,$107.00,,"$3,200.00",,,2,$20.00,30,365,62,3,6/5/10,5/31/19,96,10,10,10,10,10,10,strict_14_with_grace_period
Western Addition,94117,Townhouse,Private room,2,1,1,1,Real Bed,$110.00,,,$130.00,$30.00,1,$0.00,2,29,397,55,12/5/11,9/30/19,97,10,10,10,10,10,10,strict_14_with_grace_period
Nob Hill,94133,Loft,Entire home/apt,2,1,1,1,Real Bed,$125.00,"$1,220.00","$4,305.00",$500.00,$100.00,1,$25.00,30,30,119,3,5/13/10,2/5/19,98,10,10,10,10,10,10,moderate
Haight Ashbury,94117,Apartment,Private room,2,4,1,1,Real Bed,$65.00,$490.00,"$1,685.00",$200.00,$50.00,1,$12.00,32,90,14,0,9/18/11,8/16/17,78,8,8,10,10,10,7,strict_14_with_grace_period
Castro/Upper Market,94114,House,Entire home/apt,2,1,1,1,Real Bed,$155.00,,,$200.00,$60.00,2,$0.00,3,14,391,58,6/16/10,10/8/19,97,10,10,10,10,10,10,strict_14_with_grace_period
